Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State/Region,Company Type,Primary Assets,Au/Ag Role,Primary Commodity,Notes
SAND,Sandstorm Gold Royalties,NYSE / TSX,Canada,Global,"Americas, Africa, Australia",Royalty/Streaming,"200+ royalties; Hod Maden TK cornerstone (3.6 Moz Au, Lidya Madencilik operator); Aurizona BR stream; Santa Elena MX Ag/Au; diverse greenfield royalty portfolio; C$125M bought deal Jun 2025",Primary,Gold,~$2.5B mkt cap; Hod Maden Turkey = NAV catalyst but geopolitical risk; 200+ royalties across 30+ countries; CEO Nolan Watson; most torque to exploration upside of top royalty cos; TSX: SSL; NYSE: SAND; recently acquired Nomad Royalty 2022
EMX,EMX Royalty Corp.,NYSE / TSX.V,Canada,Global (20+ countries),"Europe, Americas, Australasia",Royalty/Streaming,"70+ royalty interests; Timok Cu-Au Serbia (Zijin 0.5% NSR); Leeville NV NSR; Balya Pb-Zn-Ag TK; unique royalty generation model — stakes ground, earns royalties via JV drilling",Primary,Gold,~$250M mkt cap; unique royalty generation model = creates royalties from scratch; 70+ royalties in 20+ countries; Timok Serbia world-class Cu-Au mine (Zijin operator); CEO David Cole; growing European portfolio; OTCQX: EMXCF
GROY,Gold Royalty Corp.,NYSE,USA,Americas,"Canada, USA, Latin America",Royalty/Streaming,"Roll-up of 3 companies (Elemental, Ely, Golden Valley 2021-22); Borden ON (Newmont), Canadian Malartic NSR, Odyssey North QC royalties; 200+ royalties primarily Canadian Abitibi gold camp",Primary,Gold,~$250M mkt cap; CEO David Garofalo (ex-Goldcorp); built diverse small/growing royalty portfolio; primarily Abitibi QC camp royalties; development-stage heavy; discount to larger peers; growing with Malartic+Borden in production; NYSE: GROY
METL,Metalla Royalty & Streaming Ltd.,NYSE / TSX.V,Canada,Americas,"Canada, USA, Mexico",Royalty/Streaming,25+ royalties; Endeavour Silver streams; Fortitude NV NSR (Barrick adjacent); Nuvau Monde QC royalty; COSE CO NSR; focused on building production-stage royalty portfolio; dividend payer,Primary,Gold,~$300M mkt cap; CEO Brett Heath; aggressive acquirer of small-medium royalties; dividend paying; Fortitude NV (Barrick adjacent) high-quality Nevada royalty; growing from 25 to 50+ royalties; TSX.V: MTA; NYSE American: MTA
MXLG,Maverix Metals Inc.,Note,Canada,Americas,Americas,Note,Acquired by Triple Flag Precious Metals (TFPM) in Jan 2023 for C$1.0 per share; Maverix ticker MXLG/MMX now delisted; assets absorbed into TFPM portfolio. See TFPM entry.,Primary,Gold,Historical reference: Maverix was acquired by Triple Flag (TFPM) in early 2023. Ticker delisted. All assets now held by TFPM. See TFPM entry for current exposure.
ELE,Elemental Altus Royalties Corp.,TSX.V / LSE,Canada,Global,"Americas, Africa, Australia",Royalty/Streaming,"Royalty generator + acquirer; Wahgnion BF stream (Endeavour operating); NSR royalties on Coté Gold ON (IAMGOLD), Karlawinda WA (Capricorn), Cozamin MX; dual TSX.V + LSE listed",Primary,Gold,~$200M mkt cap; dual Canadian+UK listed — broader investor base; royalty generator model; Coté Gold ON (IAMGOLD) production royalty; Karlawinda WA low-cost Australian gold; CEO Frederick Bell; growing pipeline of production royalties; TSX.V: ELE; LSE: ELE
NEM,Newmont Corporation,NYSE / TSX / ASX,USA,Global (11 countries),"Americas, Africa, Australasia",Producer (major),"World's largest gold miner; 17 operating mines post-Newcrest acquisition; Boddington WA, Tanami NT, Cadia NSW, Lihir PNG, Yanacocha PE, Ahafo GH, Nevada ops NV; divesting 6 non-core mines for $4B+",Primary,Gold,"~$50B mkt cap; 6+ Moz annual Au production; Newcrest acquisition Oct 2023 added Cadia/Lihir/Red Chris; 2025 restructuring — divesting Éléonore QC, CC&V CO, Porcupine ON, Musselwhite ON, Telfer WA, Akyem GH for $4B+; CEO Tom Palmer; Ahafo North GH commercial production 2025"
ABX,Barrick Mining Corporation,NYSE / TSX,Canada,Global (18 countries),"Americas, Africa, Middle East",Producer (major),"Carlin NV, Cortez NV, Turquoise Ridge NV (Nevada JV with NEM), Pueblo Viejo DO, Kibali DRC, Lumwana ZM (Cu expansion), Loulo-Gounkoto ML (suspended Jan 2025), Reko Diq PK (Cu-Au dev 37.5%)",Primary,Gold,~$45B mkt cap; NYSE: GOLD (confusingly); TSX: ABX; 4.0-4.5 Moz Au equiv production; CEO Mark Bristow; Loulo-Gounkoto Mali suspended by junta Jan 2025 — significant risk; Lumwana Cu ZM expanding to 240ktpa Cu; Reko Diq PK Cu-Au world-class dev; strong Africa position
AEM,Agnico Eagle Mines Limited,NYSE / TSX,Canada,"Canada, Australia, Mexico, Finland","Quebec, Nunavut, WA, Sonora, Lapland",Producer (major),"Canadian Malartic QC (50%, world's largest open-pit), Detour Lake ON, LaRonde QC, Goldex QC, Meadowbank NU, Macassa ON, Fosterville VIC, Kittila FI, Pinos Altos MX; Hope Bay NU dev",Primary,Gold,"~$70B mkt cap — #1 by mkt cap 2025; 3.4-3.6 Moz annual prod; AISC ~$1,150/oz = lowest of majors; CEO Ammar Al-Joundi; Detour Lake ON (22 Moz reserve); Nunavut Hope Bay option; strongest ESG + lowest AISC in major gold sector; equity stakes in multiple Canadian juniors 2025"
AGI,Alamos Gold Inc.,NYSE / TSX,Canada,"Canada, Mexico, Türkiye","Ontario, Sonora, Ağrı",Producer (major),"Young-Davidson ON, Island Gold ON (Phase 3 expansion, doubles production), Mulatos MX (post-Orla merger Camino Rojo Sonora), Lynn Lake MB (dev); Kirazlı TK permitted; record FCF 2024",Primary,Gold,~$12B mkt cap; record 567koz prod + $272M FCF 2024; Island Gold Phase 3 doubles to 300koz by 2026; CEO John McCluskey; no debt; lowest-cost Canadian gold producer; Camino Rojo MX major growth asset (Orla merger); TSX: AGI; NYSE: AGI
KGC,Kinross Gold Corporation,NYSE / TSX,Canada,"USA, Brazil, Mauritania, Chile","Nevada, Pará, Tasiast, Atacama",Producer (major),"Tasiast MR (expansion complete 21ktpd, 3.5Moz reserve), Fort Knox AK, Bald Mountain NV, Round Mountain NV, Paracatu BR (55Mt reserve), Great Bear-successor Lobo-Marte CL dev",Primary,Gold,~$18B mkt cap; 2.1 Moz annual production; CEO J. Paul Rollinson; Tasiast expansion complete — major FCF catalyst; Paracatu BR = Americas' largest single gold mine (55-yr life); Lobo-Marte CL dev asset; $2.2B liquidity; TSX: K; NYSE: KGC; 3 US dev projects funded
AU,AngloGold Ashanti Limited,NYSE / JSE,South Africa,Global (9 countries),"Americas, Africa, Australia",Producer (major),"Geita TZ, Obuasi GH, Tropicana WA (50% JV), Sunrise Dam WA, Serra Grande BR, Kibali DRC (45% JV), Cuiabá BR, Sukari EG (acquired via Centamin Jan 2025); relocated HQ to Denver 2024",Primary,Gold,~$15B mkt cap; HQ moved Denver 2024 — re-rating catalyst; CEO Alberto Calderon; Centamin acquisition adds Sukari EG (11Moz reserve); 2.7-3.0+ Moz production; 3M oz producer 2025 first full Sukari year; Augusta Gold NV acquisition 2025 adds US exposure; NYSE: AU; JSE: ANG
EDV,Endeavour Mining plc,TSX / LSE,UK,West Africa,"Côte d'Ivoire, Senegal, Burkina Faso, Mali",Producer (major),"Sabodala-Massawa SN, Ity CI, Lafigué CI (new 2024), Houndé BF, Mana BF; Bantou BF exploration; Wahgnion BF (divested); Fetekro CI development",Primary,Gold,"~$8B mkt cap; 1.4-1.6 Moz from 5 West African mines; Lafigué CI opened 2024 — low AISC first years; CEO Ian Cockerill (2023 replacement); strong FCF; LSE: EDV, TSX: EDV; Burkina Faso security risk elevated; Wahgnion divested to Lilium Gold"
GFI,Gold Fields Limited,NYSE / JSE,South Africa,Global,"Australia, Ghana, South Africa, Peru, Chile",Producer (major),"South Deep ZA (45yr mine life), Tarkwa GH, Damang GH, Gruyere WA (50% JV with Gold Road), Salares Norte CL (opened 2024), Cerro Corona PE; acquired Gold Road Resources (ASX: GOR) 2025",Primary,Gold,~$15B mkt cap; 2.1-2.3 Moz production; Salares Norte CL opened 2024 — low AISC first years; acquired Gold Road AU (Gruyere 50%→100%) 2025 for A$3.7B; CEO Mike Fraser; South Deep ZA largest by reserve; dual NYSE+JSE; failed Yamana merger 2022 (outbid by AEM)
EQX,Equinox Gold Corp.,NYSE / TSX,Canada,Americas,"Brazil, USA, Canada, Mexico",Producer (major),"Greenstone ON (50% Orion JV, new May 2024, 400koz/yr capacity), Aurizona BR, Fazenda BR, Santa Luz BR, Mesquite CA; Los Filos MX paused; Los Castillos CL dev; Hardrock ON dev",Primary,Gold,~$4B mkt cap; Greenstone ON opened May 2024 — transformational 400koz/yr mine; CEO Greg Smith; 700-800koz prod 2025; Brazil cluster strong FCF; Los Filos MX paused community issues; Hardrock ON = Greenstone Phase 2; TSX: EQX; NYSE: EQX
IAG,IAMGOLD Corporation,NYSE / TSX,Canada,"Canada, Burkina Faso, Senegal","Ontario, Burkina Faso, Senegal",Producer (major),"Côté Gold ON (70% stake, opened Jan 2024, 180koz/yr ramp; 7Moz reserve), Essakane BF (90%, 400koz/yr), Boto SN development; Westwood QC care+maintenance",Primary,Gold,~$4B mkt cap; Côté Gold ON = Canada's largest new gold mine in decades; opened Jan 2024; Essakane BF 400koz/yr; CEO Renaud Adams; Côté ramp-up challenges 2024 but improving 2025; Westwood QC post-seismic care+maintenance; transformational moment for IAMGOLD
BTG,B2Gold Corp.,NYSE / TSX,Canada,"Mali, Namibia, Philippines, Colombia","Fekola ML, Otjikoto NM, Masbate PH, Gramalote CO dev",Producer (major),"Fekola ML (500-600koz/yr, Fekola Regional discovery), Otjikoto NM, Masbate PH; Gramalote CO dev (JV with AngloGold Ashanti); Toega ML exploration",Primary,Gold,~$5B mkt cap; Fekola ML flagship — Sabodala trend expansion; CEO Clive Johnson; strong FCF + aggressive dividends; Mali junta risk 2022-2025 but Fekola operating; Otjikoto NM low-cost; Gramalote CO dev JV with AU; one of sector's best dividend growth records; TSX: BTO
NST,Northern Star Resources Limited,ASX,Australia,"Australia, USA","Western Australia, Alaska",Producer (major),"KCGM Super Pit Kalgoorlie WA (expansion to 900koz/yr by 2028), Pogo AK, Jundee WA, Thunderbox WA, Carosue Dam WA; Hemi WA (acquired from De Grey Mining 2025 for A$5B)",Primary,Gold,~A$30B mkt cap; 2.0+ Moz annual production; KCGM mill expansion = production + FCF step-change by 2028; De Grey acquisition A$5B adds Hemi WA world-class deposit (9Moz); CEO Stuart Tonkin; strong ASX dividend payer; Australia's 2nd largest gold miner; NYSE ADR: NEM AU cross-listed
EVN,Evolution Mining Limited,ASX,Australia,"Australia, Canada","Queensland, NSW, WA, Ontario",Producer (major),"Cowal NSW (expansion to 2042), Northparkes NSW (Cu-Au; 30% JV), Mungari WA (expansion), Red Lake ON (acquired 2020), Ernest Henry QLD (Cu-Au 100% from Glencore 2022), Mt Rawdon QLD",Primary,Gold,~A$20B mkt cap; 710-780koz production FY25; CEO Lawrie Conway; Northparkes 30% ownership (Cu-Au) = unique base metal diversification; Cowal NSW expansion to 2042; Mungari mill expansion complete 2025 — Kalgoorlie hub growth; record net mine CF Q3 2025 $366M; strong ASX dividend
CMM,Capricorn Metals Limited,ASX,Australia,Australia,Western Australia,Producer (mid-tier),"Karlawinda Pilbara WA (70koz/yr; AISC ~A$1,250/oz — lowest on ASX); Mt Gibson Mid-West WA (development, 1.3Moz reserve, self-funding from Karlawinda FCF)",Primary,Gold,"~A$6B mkt cap; AISC ~A$1,250/oz = sector's lowest on ASX; Mt Gibson dev funded by Karlawinda FCF (no debt); CEO Mark Clark; strong FCF profile; no dividend yet — reinvesting into Mt Gibson; Pilbara infrastructure advantage; one of ASX's best-run gold producers"
RRL,Regis Resources Limited,ASX,Australia,Australia,Western Australia,Producer (mid-tier),"Duketon WA mining centre (Garden Well, Rosemont, Erlistoun); McPhillamys NSW (dev, 3.5Moz resource, WA offset mines provide FCF during wait); Tropicana WA (30% JV with AngloGold)",Primary,Gold,"~A$4B mkt cap; Duketon WA multi-pit complex; McPhillamys NSW development (3.5Moz); Tropicana WA 30% JV; CEO Jim Beyer; reliable mid-tier WA producer; led realised price at $5,405/oz Q2 2025; ASX-only listed"
GMD,Genesis Minerals Limited,ASX,Australia,Australia,Western Australia,Producer (mid-tier),"Leonora district WA: Gwalia underground (St Barbara flagship mine, high-grade, >5 Moz resource), Tower Hill WA, Ulysses WA; ASPIRE 400 strategy targets 400koz/yr production; acquired St Barbara assets 2023",Primary,Gold,~A$6B mkt cap; ASPIRE 400 strategy: grow Leonora district to 400koz/yr; CEO Raleigh Finlayson (ex-Saracen/NST); acquired St Barbara's Leonora assets (Gwalia+Tower Hill) 2023 — transformational; Leonora district-scale consolidation; strong WA management team
RMS,Ramelius Resources Limited,ASX,Australia,Australia,Western Australia,Producer (mid-tier),"Mt Magnet WA (hub), Vivien WA, Rebecca WA (dev); Edna May WA (care+maintenance); Penny WA; Eridanus WA discovery; hub-and-spoke WA production model generating 300koz+/yr",Primary,Gold,~A$5B mkt cap; 280-320koz WA production; hub-and-spoke model — Mt Magnet + Vivien + Rebecca feeds; CEO Mark Zeptner; Rebecca WA development adds production 2026+; Eridanus discovery in Mt Magnet area adds upside; consistent ASX dividend payer; strong WA community reputation
WGX,Westgold Resources Limited,ASX,Australia,Australia,Western Australia,Producer (mid-tier),"Murchison WA goldfield: Paddy's Flat, Big Bell, Bluebird-South Junction, Starlight; acquired Karora Resources (WA, CA) in 2024 for A$1.3B; Beta Hunt Mine WA (high-grade Au-Ni)",Primary,Gold,~A$4B mkt cap; Karora acquisition 2024 added Beta Hunt WA + Higginsville WA; CEO Wayne Bramwell; Murchison WA multi-mine complex; Beta Hunt has famous high-grade sections (Father's Day Vein); transformation from mid-tier to significant producer via Karora deal
PRU,Perseus Mining Limited,ASX / TSX,Australia,West Africa,"Côte d'Ivoire, Ghana, Sudan",Producer (mid-tier),"Yaouré CI (flagship, 200koz/yr, low AISC), Sissingué CI, Edikan GH; Meyas Sand Sudan (70% JV, dev); Koné CI (31.4% stake); CMA underground CI (dev, extends Yaouré to 2035)",Primary,Gold,"~A$4B mkt cap; ~500koz annual production 3 mines; AISC ~US$1,147/oz 2024 = very low cost; CEO Jeff Quartermaine; Yaouré CI transformational 2021 — now flagship; Koné CI 31.4% stake = large undeveloped CI deposit; final investment decision CMA underground Jan 2025; ASX: PRU; TSX: PRU"
OGC,OceanaGold Corporation,ASX / TSX,Australia,"New Zealand, Philippines, USA","Waihi NZ, Didipio PH, Haile SC",Producer (mid-tier),"Haile SC USA (flagship 220koz/yr, low political risk), Didipio PH Cu-Au underground (operational post-permit), Waihi NZ (Martha underground), Macraes NZ; WKP NZ dev",Primary,Gold,~$3B mkt cap; Haile SC = key US gold producer with large reserve; Didipio PH operational again post-2021 permit; Waihi NZ Martha underground high-grade; CEO Gerard Bond; ~520koz production; 4-mine portfolio across 3 continents; dual ASX+TSX; CDN HQ
DGC,Dundee Precious Metals Inc.,TSX,Canada,"Bulgaria, Namibia","Chelopech, Tsumeb",Producer (mid-tier),"Chelopech Cu-Au BG (1.5Moz Au reserve), Ada Tepe BG (low-cost open-pit Au), Tsumeb smelter NM (custom smelting revenue); Čoka Rakita SR (high-grade Au-Ag dev)",Primary,Gold,~$3B mkt cap; AISC ~$800/oz = sector's lowest globally — Chelopech+Ada Tepe world-class low-cost Bulgarian assets; Tsumeb NM smelter custom revenue; Čoka Rakita SR dev (high-grade underground Au-Ag); CEO David Rae; strong FCF; TSX only; no NYSE listing
WDO,Wesdome Gold Mines Ltd.,TSX,Canada,Canada,"Ontario, Quebec",Producer (mid-tier),"Eagle River Complex ON (100-120koz/yr, 12+ g/t Au, underground); Kiena Complex QC (Kiena Deep new zone 22 g/t Au, ramping 2024); Mishi open pit ON",Primary,Gold,~$2B mkt cap; Eagle River ON = Canada's highest-grade operating gold mines; Kiena Deep discovery transforms QC asset — 22 g/t Au; CEO Warwick Morley-Jepson; all-Canadian ops; undervalued vs peers on FCF; TSX only; record 2025 financial results
CG,Centerra Gold Inc.,NYSE / TSX,Canada,"Canada, Türkiye, Finland","British Columbia, Ağrı, North Karelia",Producer (mid-tier),"Mt Milligan BC (75% Au-Cu open-pit; WPM gold stream), Öksüt TR (gold heap leach; suspended security concerns 2025), Kemess BC (Cu-Au underground dev); FS due Kemess 2026",Primary,Gold,"~$2B mkt cap; Mt Milligan BC major asset with WPM gold stream; Öksüt TR suspended — Turkey security concerns; Kemess BC underground dev option; CEO Paul Tomory; Kyrgyz Republic exit 2022 (Kumtor confiscated, settled); TSX: CG; NYSE: CGAU"
BTG.V,B2Gold (see BTG entry above),Note,Canada,Global,Global,Note,Note: B2Gold NYSE: BTG; TSX: BTO. See BTG entry in Major Producers section.,Primary,Gold,"Same as BTG — NYSE ticker is GOLD (actually Barrick), B2Gold NYSE is BTG. TSX is BTO."
TOREX,Torex Gold Resources Inc.,TSX,Canada,Mexico,Guerrero,Producer (mid-tier),"El Limón Guajes ELG MX (12Moz reserve; existing open-pit + underground); Media Luna MX (new underground mine below ELG, commissioning 2025; 150-200koz additional at lower AISC); 500-550koz peak",Primary,Gold,~$3B mkt cap; ELG Mexico Guerrero Gold Belt; Media Luna underground commissioning 2025 — major production+FCF step-up; CEO Jody Kuzenko; Guerrero security risk; strong fortress infrastructure; TSX: TXG; no NYSE listing; strong FCF profile
MAI,Minera Alamos Inc.,TSX.V,Canada,Mexico,"Sonora, Jalisco",Producer (mid-tier),"Santana Au MX (open-pit heap leach, 50-60koz/yr, since 2021); La Fortuna Au MX (Jalisco, 2Moz resource, FS underway, 120koz target); Los Verdes Cu MX",Primary,Gold,~$400M mkt cap; Santana MX in production; La Fortuna Jalisco growth asset — 2Moz Au FS targeting 120koz/yr; CEO Doug Ramshaw; track record building on-budget Mexico mines; low capex heap leach model; TSX.V: MAI; OTCQX: MAIFF
GATO,Galiano Gold Inc.,NYSE / TSX,Canada,Ghana,Ashanti Region,Producer (mid-tier),Asanko Gold Mine GH: 45% JV with Gold Fields (55% and manager); 2-mine complex Esaase + Abore pits; ~170koz/yr; Midras exploration district,Primary,Gold,~$500M mkt cap; NYSE: GAU; Asanko JV with GFI — GFI manages; Midras district exploration upside; CEO Matt Badylak; Ghana gold jurisdiction; transitioning to reliable mid-tier; Esaase expansion drilling 2025
