Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
BRVO.V,Bravo Mining,TSXV,Brazil,Brazil,Pará,Explorer,"Luanga Project (Carajás Pará — Pt/Pd/Rh/Au/Ni/Cu)",Primary,Carajás PGM+Au+Ni project; LP environmental license granted; PEA filed; no production yet; mkt cap ~C$100M
CNRI.V,Canadian North Resources,TSXV,Canada,Canada,Nunavut,Explorer,Ferguson Lake Project (Nunavut — Ni/Cu/Co/Pd/Pt/Rh),Primary,Nunavut Ni-Cu-Co project with meaningful PGMs; advancing resources toward potential mine; mkt cap ~C$50M
CHN.AX,Chalice Mining,ASX,Australia,Australia,Western Australia,Explorer,"Gonneville Palladium-Nickel-Copper Project (Pd/Ni/Cu/Pt/Co/Au/Magnetite)",Primary,Large undeveloped Pd-Ni-Cu-PGE system near Perth WA; staged open-pit PFS underway; platinum is by-product; mkt cap ~A$500M
GT.V,GT Resources,TSXV,Canada,Finland; Canada,North-Central Finland; Ontario; Yukon,Explorer,"Lantinen Koillismaa (LK) Finland (Pd/Pt/Ni/Cu/Au/Co); Tyko I & II Ontario (Ni/Cu/PGE); Canalask Yukon; Disraeli Ontario; North Rock Ontario",Primary,Finland PGE-Cu-Ni flagship with NI 43-101 resource; multiple Ontario + Yukon Ni-Cu-PGE targets; mkt cap ~C$20M
VO.V,ValOre Metals,TSXV,Canada,Brazil; Canada,Ceará; Nunavut,Explorer,"Pedra Branca PGE Project Brazil (Pd/Pt); Angilak Project Nunavut",Primary,Pedra Branca NE Brazil 100%-owned PGE project; Angilak Nunavut uranium-PGE; mkt cap ~C$20M
RAMP.V,Ramp Metals,TSXV,Canada,Canada,Saskatchewan,Explorer,PLD Claims / Peter Lake Domain (Ni/Cu/Pt/Pd/Co),Primary,Ni-Cu-PGE target Saskatchewan; samples 41 ppb Pt + 49 ppb Pd; historic drilling hit 7.1m sulphides; mkt cap ~C$15M
PPP.V,Prospector Metals,TSXV,Canada,Canada,Ontario,Explorer,Devon Ni-Cu-PGE Project (Ni/Pt/Pd),Primary,Ni-Cu-PGE exploration Ontario; samples up to 3.54 g/t Pd+Pt; 1000m drill program started Oct 2025; mkt cap ~C$10M
SX.CN,St-Georges Eco-Mining,CSE,Canada,Canada,Ontario; Quebec,Explorer,"Julie Project (Ni/Cu/Co/Pd/Pt/Ag/Mg); Manicouagan Project (Ni/Cu/Co/Pt/Pd/Rh/Ru/Os/Ir)",Primary,Quebec North Shore multi-commodity PGM explorer; full PGM suite at Manicouagan; mkt cap ~C$20M
THA.JSE,Tharisa,JSE,South Africa,South Africa; Zimbabwe,North West; Great Dyke,Producer,"Tharisa Mine SA (open-pit PGM-chrome co-producer); Karo Platinum Project Zimbabwe (development)",Primary,Large-scale mechanised PGM-chrome co-producer; phased underground transition underway; Karo Zimbabwe trial mining completed; mkt cap ~ZAR 5B
TIHRF,Tharisa,OTC,South Africa,South Africa; Zimbabwe,North West; Great Dyke,Producer,Same as JSE:THA,Primary,US OTC pink-sheet dual listing of Tharisa (JSE:THA); same company; same assets (Tharisa Mine SA + Karo Zimbabwe)
ZIM.AX,Zimplats,ASX,Zimbabwe,Zimbabwe,Mashonaland West,Producer,"South Pit Mine (open-pit); Mupfuti Mine (underground); Bimha Mine (underground); Mupani Mine (development/ramp-up); Rukodzi (depleted Jun 2025); Ngwarati (decommissioned FY2024)",Primary,ASX-listed Zimbabwe Great Dyke PGM producer; subsidiary of Impala Platinum; long-life low-cost mechanised operations; mkt cap ~A$1.5B
JMAT.L,Johnson Matthey,LSE,UK,UK,N/A,Supply Chain,PGM refining + recycling + catalysis technology,Secondary,Major PGM refiner and catalyst manufacturer; largest PGM recycler globally; autocatalyst + hydrogen fuel cell technology; mkt cap ~£2B
UMI.BR,Umicore,Euronext Brussels,Belgium,Belgium,N/A,Supply Chain,PGM refining + recycling + battery materials,Secondary,Belgian PGM refiner and recycler; autocatalyst recycling + battery materials; significant PGM processing volumes; mkt cap ~€3B
4080.T,Tanaka Chemical Corporation,TSE,Japan,Japan,N/A,Supply Chain,PGM chemicals + precious metals processing,Secondary,Japanese PGM chemical manufacturer; platinum and palladium compounds for industrial + electronics use
LZM,Lifezone Metals,NYSE,USA,Tanzania,Mwanza Region,Supply Chain,"Kabanga Nickel Project Tanzania (Ni/Co/Cu); Kell Process hydromet technology (PGM refining)",Secondary,Kell Process is novel hydromet PGM refining technology; Kabanga Ni-Co-Cu project Tanzania; mkt cap ~US$300M
PPLT,abrdn Physical Platinum Shares ETF,NYSE Arca,USA,USA — fund domicile,N/A,Physical ETF,Holds physical platinum bars in secure vaults,Primary,Physically-backed platinum ETF; ~0.60% expense ratio; tracks LBMA platinum price; most liquid US platinum ETF; ~US$500M AUM
SPPP,Sprott Physical Platinum & Palladium Trust,NYSE Arca,USA,USA — fund domicile,N/A,Physical Trust,Holds physical platinum + palladium in allocated storage,Primary,Physically-backed Pt+Pd trust; tracks combined Pt+Pd spot prices; ~US$100M AUM; Sprott-managed
PLTM,GraniteShares Platinum Trust,NYSE Arca,USA,USA — fund domicile,N/A,Physical ETF,Holds physical platinum bars,Primary,Physically-backed platinum trust; lower expense ratio alternative to PPLT; ~US$50M AUM
LPPM,London Platinum and Palladium Market,OTC,UK,UK,N/A,Benchmark,LBMA platinum + palladium spot price benchmark,N/A,Sets the global platinum and palladium AM/PM price benchmarks; not investable directly but referenced by all physical ETFs and contracts
PALL,abrdn Physical Palladium Shares ETF,NYSE Arca,USA,USA — fund domicile,N/A,Physical ETF,Holds physical palladium bars in secure vaults,Primary,Physically-backed palladium ETF; tracks LBMA palladium price; most liquid US palladium ETF; ~US$200M AUM
PALL.L,WisdomTree Physical Palladium,LSE,Jersey,UK — fund domicile,N/A,Physical ETP,Holds physical palladium,Primary,LSE-listed physically-backed palladium ETP; UCITS-compliant; for European investors
WITE,WisdomTree Precious Metals,LSE,Jersey,UK — fund domicile,N/A,Physical ETP,"Basket of gold, silver, platinum, palladium",Secondary,LSE-listed basket precious metals ETP including platinum + palladium exposure; UCITS-compliant
PHPT.L,WisdomTree Physical Platinum,LSE,Jersey,UK — fund domicile,N/A,Physical ETP,Holds physical platinum,Primary,LSE-listed physically-backed platinum ETP; UCITS-compliant; for European investors
MNPD.TO,Sprott Physical Platinum & Palladium Trust,TSX,Canada,Canada — fund domicile,N/A,Physical Trust,Same as NYSE:SPPP — physical Pt+Pd,Primary,Canadian TSX listing of Sprott Physical Platinum & Palladium Trust; CAD-denominated; same underlying physical holdings
CNC.V,Canada Nickel,TSXV,Canada,Canada,Ontario,Explorer,"Crawford Nickel-Cobalt Sulphide Project (flagship); Mann West + Mann Central (Ni/Co/Pd/Pt)",Secondary,Crawford is flagship Ni-Co project; Mann deposits have meaningful Pd+Pt credits; mkt cap ~C$200M
CNIKF,Canada Nickel,OTC,Canada,Canada,Ontario,Explorer,Same as TSXV:CNC,Secondary,US OTC dual listing of Canada Nickel (TSXV:CNC); same company; Crawford Ni-Co + Mann Pd/Pt deposits
NICU.TO,Magna Mining,TSX,Canada,Canada,Ontario,Developer,Same as TSXV:NICU — McCreedy West + Levack + Podolsky Sudbury,Primary,TSX uplisted version of Magna Mining; Sudbury Basin Cu-Ni-PGM developer/producer
PLGMF,Platinum Group Metals,OTC,Canada,South Africa,Limpopo,Developer,Same as NYSE:PLG — Waterberg Project,Primary,US OTC version of Platinum Group Metals; same as NYSE:PLG; thin liquidity
SBSW.JSE,Sibanye Stillwater,JSE,South Africa,South Africa; USA; Zimbabwe,Multiple,Producer,Same as NYSE:SBSW — full PGM + gold portfolio,Primary,JSE home listing of Sibanye Stillwater; same company as NYSE:SBSW; JSE:SSW ticker
AAPL.JSE,Anglo American Platinum,JSE,South Africa,South Africa; Zimbabwe,Limpopo; Midlands,Producer,Same as JSE:AMS — full PGM portfolio,Primary,Primary JSE listing of Anglo American Platinum; ticker AMS on JSE; world's largest primary platinum producer
IMPUY,Impala Platinum,OTC,South Africa,South Africa; Zimbabwe; Canada,Multiple,Producer,Same as JSE:IMP,Primary,US OTC ADR for Impala Platinum Holdings (JSE:IMP); same company; same assets
PLZL.ME,Polyus,MOEX,Russia,Russia,Krasnoyarsk; Magadan; Irkutsk,Producer,Gold primary; minor PGM by-products,Secondary,Russia's largest gold producer; minor PGM by-product exposure; sanctioned entity — limited Western access
GMKN.ME,Norilsk Nickel,MOEX,Russia,Russia,Krasnoyarsk Territory,Producer,Same as MOEX:GMKN — full Arctic PGM-Ni-Cu portfolio,Primary,Primary MOEX listing of Norilsk Nickel; world's largest palladium producer; sanctioned entity
PGNAF,Platinum Group Metals,OTC,Canada,South Africa,Limpopo,Developer,Same as NYSE:PLG — Waterberg,Primary,Alternative OTC ticker for Platinum Group Metals; same as PLG/PLGMF
BRPMF,Bravo Mining,OTC,Brazil,Brazil,Pará,Explorer,Same as TSXV:BRVO — Luanga Project,Primary,US OTC dual listing of Bravo Mining (TSXV:BRVO); same company; Luanga PGM+Au+Ni project Carajás
GENM.V,Generation Mining,TSXV,Canada,Canada,Ontario,Developer,Same as TSX:GENM — Marathon Project,Primary,TSXV listing of Generation Mining; same company as TSX:GENM; Marathon PGM-Cu project Ontario
GENMF,Generation Mining,OTC,Canada,Canada,Ontario,Developer,Same as TSX:GENM — Marathon Project,Primary,US OTC dual listing of Generation Mining (TSX:GENM); same company; Marathon PGM-Cu project
CHMIF,Chalice Mining,OTC,Australia,Australia,Western Australia,Explorer,Same as ASX:CHN — Gonneville Pd-Ni-Cu,Primary,US OTC dual listing of Chalice Mining (ASX:CHN); same company; Gonneville Pd-Ni-Cu-PGE project WA
ZIMZF,Zimplats,OTC,Zimbabwe,Zimbabwe,Mashonaland West,Producer,Same as ASX:ZIM — Great Dyke PGM operations,Primary,US OTC dual listing of Zimplats (ASX:ZIM); same company; Zimbabwe Great Dyke PGM producer
TIHRF,Tharisa,OTC,South Africa,South Africa; Zimbabwe,North West; Great Dyke,Producer,Same as JSE:THA — Tharisa Mine + Karo,Primary,US OTC dual listing of Tharisa (JSE:THA); same company; PGM-chrome co-producer
JMPLF,Johnson Matthey,OTC,UK,UK,N/A,Supply Chain,Same as LSE:JMAT — PGM refining + catalysis,Secondary,US OTC dual listing of Johnson Matthey (LSE:JMAT); same company; PGM refiner + recycler
UMICF,Umicore,OTC,Belgium,Belgium,N/A,Supply Chain,Same as Euronext:UMI — PGM refining + battery materials,Secondary,US OTC dual listing of Umicore (Euronext:UMI); same company; PGM recycler + battery materials
LZMLF,Lifezone Metals,OTC,USA,Tanzania,Mwanza Region,Supply Chain,Same as NYSE:LZM — Kell Process + Kabanga,Secondary,OTC version of Lifezone Metals; same as NYSE:LZM
PGMEF,Stillwater Critical Minerals,OTC,Canada,Canada; USA,Yukon; Montana,Explorer,Same as TSXV:PGE — Stillwater West + Kluane,Primary,US OTC dual listing of Stillwater Critical Minerals (TSXV:PGE); same company; Stillwater West Montana + Kluane Yukon
NAAMF,New Age Metals,OTC,Canada,Canada,Ontario,Explorer,Same as TSXV:NAM — River Valley PGM,Primary,US OTC dual listing of New Age Metals (TSXV:NAM); same company; River Valley PGM project Sudbury
CLRMF,Clean Air Metals,OTC,Canada,Canada,Ontario,Explorer,Same as TSXV:AIR — Thunder Bay North,Primary,US OTC dual listing of Clean Air Metals (TSXV:AIR); same company; Thunder Bay North PGM-Ni-Cu
CNRIF,Canadian North Resources,OTC,Canada,Canada,Nunavut,Explorer,Same as TSXV:CNRI — Ferguson Lake,Primary,US OTC dual listing of Canadian North Resources (TSXV:CNRI); same company; Ferguson Lake Nunavut Ni-Cu-Co-PGM
VAUCF,ValOre Metals,OTC,Canada,Brazil; Canada,Ceará; Nunavut,Explorer,Same as TSXV:VO — Pedra Branca + Angilak,Primary,US OTC dual listing of ValOre Metals (TSXV:VO); same company; Pedra Branca Brazil PGE + Angilak Nunavut
MAGNF,Magna Mining,OTC,Canada,Canada,Ontario,Developer,Same as TSXV:NICU — Sudbury PGM-Ni-Cu,Primary,US OTC dual listing of Magna Mining (TSXV:NICU); same company; McCreedy West + Levack + Podolsky Sudbury
ELRFF,Eastern Platinum,OTC,Canada,South Africa,Unknown,Producer,Same as TSX:ELR — Crocodile River Mine,Primary,US OTC dual listing of Eastern Platinum (TSX:ELR); same company; CRM South Africa PGM producer
PPLT.L,WisdomTree Physical Platinum,LSE,Jersey,UK — fund domicile,N/A,Physical ETP,Holds physical platinum,Primary,LSE-listed physically-backed platinum ETP; UCITS-compliant; European equivalent of NYSE:PPLT
PALL.TO,Sprott Physical Palladium Trust,TSX,Canada,Canada — fund domicile,N/A,Physical Trust,Holds physical palladium,Primary,Canadian TSX-listed physical palladium trust; CAD-denominated; tracks LBMA palladium price
SPPD,Sprott Physical Platinum Trust,NYSE Arca,USA,USA — fund domicile,N/A,Physical Trust,Holds physical platinum,Primary,Sprott-managed physically-backed platinum trust; tracks LBMA platinum price; US-listed
PLTM.L,GraniteShares Physical Platinum,LSE,Jersey,UK — fund domicile,N/A,Physical ETP,Holds physical platinum,Primary,LSE-listed physically-backed platinum ETP; European equivalent of NYSE:PLTM
NPTLF,Northam Platinum,OTC,South Africa,South Africa,North West; Limpopo,Producer,Same as JSE:NPH — Booysendal + Zondereinde + Eland,Primary,US OTC dual listing of Northam Platinum (JSE:NPH); same company; growing SA PGM producer
RBPAF,Royal Bafokeng Platinum,OTC,South Africa,South Africa,North West,Producer,Same as JSE:RBP — BRPM + Styldrift (acquired by Northam 2023),Primary,US OTC dual listing of Royal Bafokeng Platinum; acquired by Northam Platinum 2023; delisted from JSE
STLWF,Sibanye Stillwater,OTC,South Africa,South Africa; USA; Zimbabwe,Multiple,Producer,Same as NYSE:SBSW — full PGM + gold portfolio,Primary,Alternative OTC ticker for Sibanye Stillwater; same as NYSE:SBSW
AAUKF,Anglo American Platinum,OTC,South Africa,South Africa; Zimbabwe,Limpopo; Midlands,Producer,Same as JSE:AMS — full PGM portfolio,Primary,Alternative US OTC ticker for Anglo American Platinum; same as AGPPF; thin liquidity
